seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k,false_certification,certify_profiles_total,certify_seconds_total,n_certifications,last_certify_profiles_checked,last_certify_search_complete
0,matching_id,bt,True,26976,True,True,0,0.9166666666666666,0.6821053297659861,2.7284213190639446,1.0,1124,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,3144,0.8790035587188612,966,9,3144,2.7284213190639446,1.0,1.0,,,False,765,0.029205615632236004,241,14,True
1,matching_id,bt,False,100000,True,True,0,0.9583333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,48,0.9541636669066474,2967,29,48,2.7284213190639446,0.982138096507598,0.9952015355086372,1.0,1.0,False,719,0.031557525508105755,287,2,True
2,matching_id,bt,True,2856,True,True,0,0.8125,0.6821053297659861,2.7284213190639446,1.0,119,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,216,0.7310924369747899,59,11,216,2.7284213190639446,,,,,False,534,0.012203208170831203,63,146,True
3,matching_id,bt,False,100000,True,True,0,0.9583333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,288,0.9793616510679146,2854,18,288,2.7284213190639446,0.996534257531325,0.999360204734485,0.9990403071017274,1.0,False,3940,0.05823716567829251,242,2,True
4,matching_id,bt,False,100000,True,True,0,0.9583333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,1584,0.9628029757619391,3698,16,1584,2.7284213190639446,0.9930685150626499,1.0,1.0,1.0,False,1398,0.03953371709212661,264,2,True
5,matching_id,bt,False,100000,True,True,0,0.9375,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,288,0.7741780657547396,859,63,288,2.7284213190639446,0.790989069581445,0.8592450415866922,0.9678502879078695,1.0,False,653,0.029088280629366636,240,2,True
6,matching_id,bt,False,100000,False,False,1,0.9375,0.6548227210703339,2.6192908842813356,0.801343046187361,4167,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,48,0.07151427885769139,289,8,48,2.7284213190639446,0.0007997867235403892,0.0,0.0,0.0,False,16972,0.1726793246343732,135,2,True
7,matching_id,bt,True,7032,True,True,0,0.8958333333333334,0.6821053297659861,2.7284213190639446,1.0,293,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,96,0.7508532423208191,218,6,96,2.7284213190639446,,,,,False,3676,0.04689608234912157,122,26,True
8,matching_id,bt,False,100000,True,True,0,0.9583333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,24,0.9464842812574994,2113,26,24,2.7284213190639446,0.9949346840842442,0.999360204734485,1.0,1.0,False,887,0.030123127158731222,229,2,True
9,matching_id,bt,True,77544,True,True,0,0.9791666666666666,0.6821053297659861,2.7284213190639446,1.0,3231,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,648,0.9117920148560817,2940,11,648,2.7284213190639446,1.0,1.0,1.0,,False,944,0.02982938289642334,201,4,True
10,matching_id,bt,False,100000,True,True,0,0.9166666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,48,0.9995200383969283,4164,3,48,2.7284213190639446,1.0,1.0,1.0,1.0,False,650,0.02487378753721714,170,2,True
