seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k,false_certification,certify_profiles_total,certify_seconds_total,n_certifications,last_certify_profiles_checked,last_certify_search_complete
0,matching_id,bt,False,100000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,3144,0.9673626109911208,4009,9,3144,2.7284213190639446,1.0,1.0,1.0,1.0,False,1318,0.04498491017147899,254,2,True
1,matching_id,bt,False,100000,True,True,0,0.8958333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,48,0.9541636669066474,2967,29,48,2.7284213190639446,0.982138096507598,0.9952015355086372,1.0,1.0,False,610,0.02977940021082759,202,2,True
2,matching_id,bt,False,100000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,216,0.9692824574034077,3667,15,216,2.7284213190639446,0.977605971740869,1.0,1.0,1.0,False,1245,0.0349954548291862,190,2,True
3,matching_id,bt,False,100000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,288,0.9793616510679146,2854,18,288,2.7284213190639446,0.996534257531325,0.999360204734485,0.9990403071017274,1.0,False,1130,0.038363941479474306,235,2,True
4,matching_id,bt,False,100000,True,True,0,0.9166666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,1584,0.9628029757619391,3698,16,1584,2.7284213190639446,0.9930685150626499,1.0,1.0,1.0,False,2018,0.0531275081448257,297,2,True
5,matching_id,bt,False,100000,True,True,0,0.9166666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,288,0.7741780657547396,859,63,288,2.7284213190639446,0.790989069581445,0.8592450415866922,0.9678502879078695,1.0,False,661,0.03450712049379945,258,2,True
6,matching_id,bt,False,100000,False,False,1,0.9166666666666666,0.6548227210703339,2.6192908842813356,0.801343046187361,4167,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,48,0.07151427885769139,289,8,48,2.7284213190639446,0.0007997867235403892,0.0,0.0,0.0,False,1804,0.04916479345411062,269,2,True
7,matching_id,bt,False,100000,True,True,0,0.8541666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,96,0.941444684425246,2491,26,96,2.7284213190639446,0.9544121567581978,0.9452975047984645,1.0,1.0,False,881,0.04181870352476835,286,2,True
8,matching_id,bt,False,100000,True,True,0,0.9166666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,24,0.9464842812574994,2113,26,24,2.7284213190639446,0.9949346840842442,0.999360204734485,1.0,1.0,False,1079,0.041278145276010036,285,2,True
9,matching_id,bt,False,100000,True,True,0,0.8958333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,648,0.931605471562275,3876,11,648,2.7284213190639446,1.0,1.0,1.0,1.0,False,1026,0.04255036683753133,303,2,True
10,matching_id,bt,False,100000,True,True,0,0.8958333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,48,0.9995200383969283,4164,3,48,2.7284213190639446,1.0,1.0,1.0,1.0,False,715,0.03651961637660861,264,2,True
11,matching_id,bt,False,100000,False,False,1,0.8958333333333334,0.6548227210703339,2.6192908842813356,0.801343046187361,4167,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,168,0.008879289656827454,30,8,168,2.7284213190639446,0.0,0.0,0.0,0.0,False,19007,0.2199381603859365,230,2,True
12,matching_id,bt,False,100000,False,False,1,0.8958333333333334,0.6548227210703339,2.6192908842813356,0.801343046187361,4167,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,240,0.30597552195824335,392,81,240,2.7284213190639446,0.2476672887230072,0.26263595649392196,0.3498080614203455,0.0,False,907,0.035465463530272245,228,2,True
13,matching_id,bt,False,100000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,120,0.6352291816654667,2214,27,120,2.7284213190639446,0.6667555318581712,0.700255918106206,0.550383877159309,1.0,False,1564,0.043841201812028885,243,2,True
14,matching_id,bt,False,100000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,120,0.9952003839692825,4131,8,120,2.7284213190639446,1.0,1.0,1.0,1.0,False,1352,0.04448315920308232,237,2,True
15,matching_id,bt,False,100000,True,True,0,0.8958333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,2520,0.9018478521718263,3725,14,2520,2.7284213190639446,0.9970674486803519,1.0,1.0,1.0,False,989,0.03833665372803807,227,2,True
16,matching_id,bt,False,100000,True,True,0,0.9166666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,72,0.6275497960163187,2610,8,72,2.7284213190639446,0.6960810450546521,0.8352527191298784,1.0,1.0,False,1587,0.046024218667298555,254,2,True
17,matching_id,bt,False,100000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,72,0.8257739380849533,1720,72,72,2.7284213190639446,0.8133830978405758,0.7760716570697377,0.7428023032629558,1.0,False,841,0.03203678922727704,188,2,True
18,matching_id,bt,False,100000,True,True,0,0.875,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,48,0.822174226061915,1831,33,48,2.7284213190639446,0.8061850173287124,0.8314139475367882,0.7471209213051824,1.0,False,1018,0.03395062452182174,179,2,True
19,matching_id,bt,False,100000,True,True,0,0.8958333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,240,0.8732901367890569,1910,31,240,2.7284213190639446,0.920554518794988,0.9830454254638515,0.9793666026871402,1.0,False,1699,0.05107691837474704,272,2,True
